r,g,b
0.003921569,0.7019608,0.4745098
0.007843138,0.7176471,0.50980395
0.03137255,0.7254902,0.52156866
0.23529412,0.7294118,0.5529412
0.59607846,0.7921569,0.6627451
0.7529412,0.84705883,0.73333335
0.7254902,0.7921569,0.6862745
0.5803922,0.64705884,0.54509807
0.4117647,0.49019608,0.39607844
0.23529412,0.31764707,0.24313726
0.16078432,0.23137255,0.18431373
0.16078432,0.22745098,0.1882353
0.12941177,0.21568628,0.16862746
0.1764706,0.2627451,0.21568628
0.19215687,0.3372549,0.26666668
0.13725491,0.34901962,0.25490198
0.09803922,0.37254903,0.27058825
0.03529412,0.4117647,0.27450982
0.023529412,0.4392157,0.26666668
0.011764706,0.4509804,0.27058825
0.015686275,0.4627451,0.28235295
0.011764706,0.47843137,0.28235295
0.019607844,0.49411765,0.3019608
0.023529412,0.5176471,0.32156864
0.02745098,0.4745098,0.29411766
0.007843138,0.16470589,0.03529412
0.043137256,0.11764706,0.0627451
0.07450981,0.09411765,0.07058824
0.11372549,0.13333334,0.10980392
0.16862746,0.1764706,0.15686275
0.16078432,0.16470589,0.14117648
0.1254902,0.12941177,0.10980392
0.019607844,0.7294118,0.5372549
0.08627451,0.73333335,0.5372549
0.4392157,0.79607844,0.6431373
0.7921569,0.8627451,0.7607843
0.77254903,0.827451,0.7372549
0.54509807,0.62352943,0.5411765
0.27058825,0.34901962,0.29411766
0.16862746,0.23921569,0.19607843
0.14901961,0.19607843,0.16078432
0.14509805,0.17254902,0.14509805
0.13725491,0.16470589,0.13333334
0.13333334,0.16078432,0.13333334
0.1254902,0.15294118,0.12156863
0.12156863,0.14117648,0.11764706
0.1254902,0.15294118,0.12156863
0.14509805,0.17254902,0.14509805
0.1764706,0.20392157,0.17254902
0.13333334,0.25490198,0.19607843
0.05490196,0.33333334,0.21568628
0.043137256,0.3764706,0.24705882
0.019607844,0.40392157,0.24313726
0.015686275,0.41960785,0.25490198
0.019607844,0.44705883,0.27058825
0.03137255,0.4745098,0.29803923
0.039215688,0.4509804,0.28627452
0.011764706,0.15686275,0.03137255
0.043137256,0.11372549,0.05882353
0.07450981,0.09803922,0.07058824
0.12156863,0.12941177,0.10980392
0.16078432,0.17254902,0.14509805
0.16470589,0.16862746,0.14901961
0.1254902,0.13725491,0.10980392
0.1254902,0.74509805,0.5529412
0.54901963,0.85490197,0.72156864
0.8352941,0.8901961,0.8
0.7137255,0.76862746,0.6784314
0.3137255,0.36862746,0.29411766
0.19607843,0.24705882,0.2
0.18039216,0.21568628,0.18431373
0.15686275,0.1764706,0.15294118
0.14901961,0.15294118,0.13333334
0.13725491,0.14117648,0.12156863
0.13333334,0.13725491,0.11764706
0.12941177,0.13725491,0.11764706
0.12941177,0.13333334,0.11372549
0.12156863,0.12941177,0.10980392
0.1254902,0.12941177,0.10980392
0.12156863,0.12941177,0.10980392
0.12941177,0.13333334,0.11372549
0.13333334,0.14117648,0.12156863
0.15686275,0.16078432,0.14117648
0.14117648,0.23529412,0.18039216
0.07058824,0.30588236,0.20392157
0.050980393,0.34901962,0.22352941
0.039215688,0.38431373,0.24705882
0.03137255,0.4117647,0.25490198
0.039215688,0.4,0.24313726
0.011764706,0.14509805,0.03137255
0.039215688,0.10980392,0.05882353
0.078431375,0.09803922,0.07450981
0.105882354,0.1254902,0.101960786
0.15686275,0.16470589,0.14509805
0.1764706,0.18039216,0.15686275
0.12941177,0.13333334,0.11372549
0.5254902,0.8745098,0.7254902
0.85490197,0.9019608,0.8156863
0.6431373,0.69803923,0.60784316
0.21960784,0.28627452,0.22352941
0.2,0.24705882,0.20784314
0.19607843,0.22745098,0.19215687
0.14901961,0.16078432,0.13725491
0.13333334,0.14117648,0.11764706
0.1254902,0.13725491,0.10980392
0.12941177,0.13333334,0.11372549
0.1254902,0.13333334,0.11372549
0.1254902,0.12941177,0.10980392
0.12156863,0.12941177,0.10980392
0.1254902,0.12941177,0.10980392
0.12156863,0.12941177,0.10980392
0.12156863,0.1254902,0.105882354
0.11764706,0.1254902,0.105882354
0.12156863,0.1254902,0.105882354
0.11764706,0.1254902,0.105882354
0.12156863,0.1254902,0.105882354
0.14901961,0.1764706,0.14509805
0.12156863,0.23529412,0.1882353
0.07058824,0.30588236,0.20784314
0.050980393,0.34509805,0.22352941
0.0627451,0.34509805,0.22745098
0.011764706,0.12941177,0.043137256
0.047058824,0.101960786,0.06666667
0.07450981,0.09411765,0.07058824
0.10980392,0.11764706,0.105882354
0.16078432,0.18039216,0.15686275
0.17254902,0.1764706,0.15686275
0.12156863,0.12941177,0.10980392
0.84313726,0.9098039,0.827451
0.6901961,0.7254902,0.6509804
0.25490198,0.29803923,0.23137255
0.21568628,0.2627451,0.22352941
0.1882353,0.22352941,0.19215687
0.14509805,0.15686275,0.13333334
0.13725491,0.14117648,0.12156863
0.13333334,0.13725491,0.11764706
0.13333334,0.13725491,0.11764706
0.12941177,0.13333334,0.11372549
0.1254902,0.12941177,0.10980392
0.12156863,0.12941177,0.10980392
0.1254902,0.12941177,0.10980392
0.12156863,0.12941177,0.10980392
0.1254902,0.12941177,0.10980392
0.11764706,0.1254902,0.105882354
0.12156863,0.1254902,0.105882354
0.11764706,0.1254902,0.105882354
0.11764706,0.1254902,0.105882354
0.11764706,0.12156863,0.101960786
0.10980392,0.11764706,0.09803922
0.13333334,0.14901961,0.12941177
0.14117648,0.22745098,0.1764706
0.08627451,0.27058825,0.1882353
0.07450981,0.29411766,0.19607843
0.011764706,0.1254902,0.050980393
0.047058824,0.101960786,0.06666667
0.07450981,0.09411765,0.07058824
0.105882354,0.11372549,0.09411765
0.14509805,0.15294118,0.13333334
0.16078432,0.16470589,0.14509805
0.12941177,0.13333334,0.11372549
0.7764706,0.8,0.7372549
0.3019608,0.34509805,0.28627452
0.27058825,0.30980393,0.27450982
0.19215687,0.21960784,0.1882353
0.14117648,0.14901961,0.12941177
0.13725491,0.14509805,0.12156863
0.13333334,0.13725491,0.11764706
0.12941177,0.13725491,0.11372549
0.1254902,0.13725491,0.10980392
0.1254902,0.13333334,0.10980392
0.12156863,0.13333334,0.105882354
0.1254902,0.12941177,0.10980392
0.12156863,0.13333334,0.105882354
0.1254902,0.12941177,0.10980392
0.12156863,0.13333334,0.105882354
0.1254902,0.12941177,0.10980392
0.11764706,0.1254902,0.105882354
0.12156863,0.12156863,0.11372549
0.11764706,0.1254902,0.105882354
0.12156863,0.1254902,0.105882354
0.11764706,0.1254902,0.105882354
0.11372549,0.11764706,0.09803922
0.1254902,0.15294118,0.12941177
0.1254902,0.20392157,0.16078432
0.11372549,0.23529412,0.17254902
0.019607844,0.10980392,0.050980393
0.0627451,0.09803922,0.06666667
0.078431375,0.09803922,0.07450981
0.101960786,0.10980392,0.09803922
0.12941177,0.13725491,0.11764706
0.14901961,0.15294118,0.13333334
0.1254902,0.13725491,0.10980392
0.47058824,0.47843137,0.40784314
0.28235295,0.30980393,0.27450982
0.23921569,0.26666668,0.23529412
0.14901961,0.15686275,0.13725491
0.13725491,0.14117648,0.12156863
0.13333334,0.14117648,0.11764706
0.12941177,0.13725491,0.11764706
0.12941177,0.13725491,0.11372549
0.12941177,0.13333334,0.11372549
0.12156863,0.12941177,0.10980392
0.1254902,0.12941177,0.10980392
0.12156863,0.12941177,0.10980392
0.12156863,0.12941177,0.105882354
0.12156863,0.12941177,0.10980392
0.12156863,0.12941177,0.105882354
0.12156863,0.12941177,0.10980392
0.12156863,0.1254902,0.105882354
0.12156863,0.1254902,0.10980392
0.12156863,0.12941177,0.10980392
0.12156863,0.1254902,0.105882354
0.11764706,0.1254902,0.105882354
0.11372549,0.12156863,0.101960786
0.105882354,0.11764706,0.09411765
0.12941177,0.15294118,0.12941177
0.13725491,0.1764706,0.14509805
0.050980393,0.09019608,0.050980393
0.07058824,0.08235294,0.0627451
0.078431375,0.09019608,0.07450981
0.101960786,0.10980392,0.09411765
0.12941177,0.13725491,0.11764706
0.14509805,0.14901961,0.1254902
0.12941177,0.13333334,0.11372549
0.2627451,0.26666668,0.21568628
0.31764707,0.3372549,0.30980393
0.15686275,0.16470589,0.14509805
0.14509805,0.15294118,0.12941177
0.13725491,0.14117648,0.12156863
0.12941177,0.13333334,0.11372549
0.12941177,0.13333334,0.11372549
0.1254902,0.13725491,0.10980392
0.1254902,0.13333334,0.10980392
0.1254902,0.13333334,0.10980392
0.12156863,0.12941177,0.105882354
0.12156863,0.1254902,0.11372549
0.12156863,0.13333334,0.105882354
0.1254902,0.12941177,0.10980392
0.12156863,0.12941177,0.105882354
0.12156863,0.12941177,0.10980392
0.12156863,0.1254902,0.105882354
0.1254902,0.1254902,0.11372549
0.12156863,0.12941177,0.10980392
0.1254902,0.12941177,0.10980392
0.11764706,0.12941177,0.101960786
0.11764706,0.12156863,0.101960786
0.10980392,0.12156863,0.09803922
0.10980392,0.12156863,0.09803922
0.12941177,0.14117648,0.12156863
0.07058824,0.08627451,0.06666667
0.07450981,0.07450981,0.0627451
0.078431375,0.08627451,0.07058824
0.09803922,0.105882354,0.09019608
0.1254902,0.13333334,0.11372549
0.14901961,0.14901961,0.12941177
0.12156863,0.12941177,0.105882354
0.23529412,0.23921569,0.21176471
0.22745098,0.23921569,0.21568628
0.14509805,0.14509805,0.12941177
