r,g,b
0.21568628,0.27058825,0.3137255
0.20392157,0.25882354,0.29411766
0.13333334,0.17254902,0.21176471
0.25490198,0.32156864,0.36078432
0.23921569,0.30980393,0.34901962
0.27450982,0.39215687,0.41568628
0.14509805,0.7411765,0.68235296
0.0,0.8039216,0.70980394
0.0,0.79607844,0.7058824
0.0,0.7921569,0.7058824
0.0,0.7921569,0.7058824
0.003921569,0.79607844,0.70980394
0.003921569,0.79607844,0.7137255
0.0,0.8,0.70980394
0.003921569,0.79607844,0.7137255
0.0,0.8,0.70980394
0.0,0.8,0.7137255
0.0,0.8,0.70980394
0.0,0.8,0.70980394
0.0,0.8,0.70980394
0.0,0.8,0.7137255
0.0,0.8,0.70980394
0.0,0.8,0.70980394
0.0,0.8,0.70980394
0.0,0.8,0.70980394
0.0,0.8,0.7137255
0.0,0.8039216,0.7137255
0.0,0.8039216,0.7176471
0.0,0.8,0.70980394
0.0,0.8,0.70980394
0.0,0.8,0.70980394
0.0,0.8,0.70980394
0.21960784,0.26666668,0.3137255
0.20392157,0.25882354,0.29411766
0.13725491,0.1764706,0.21568628
0.24705882,0.31764707,0.35686275
0.24705882,0.3137255,0.3529412
0.27058825,0.3882353,0.4117647
0.14509805,0.7411765,0.6901961
0.0,0.8,0.7137255
0.0,0.79607844,0.7058824
0.0,0.7921569,0.70980394
0.0,0.79607844,0.7058824
0.0,0.7921569,0.70980394
0.0,0.8,0.70980394
0.003921569,0.79607844,0.7137255
0.0,0.8,0.70980394
0.003921569,0.79607844,0.7137255
0.0,0.8,0.7137255
0.0,0.8,0.7137255
0.0,0.8,0.70980394
0.0,0.8,0.7137255
0.0,0.8,0.7137255
0.0,0.8,0.7137255
0.0,0.8,0.70980394
0.0,0.8,0.7137255
0.0,0.8,0.7137255
0.0,0.8,0.7137255
0.0,0.8039216,0.7176471
0.0,0.8,0.7137255
0.0,0.8,0.7137255
0.0,0.8,0.7137255
0.003921569,0.79607844,0.7137255
0.0,0.8,0.70980394
0.21960784,0.27450982,0.31764707
0.20392157,0.25882354,0.3019608
0.1254902,0.1764706,0.21176471
0.25490198,0.32156864,0.36078432
0.24313726,0.32156864,0.35686275
0.29803923,0.3647059,0.40392157
0.2627451,0.69411767,0.6745098
0.13725491,0.7411765,0.6901961
0.13725491,0.7411765,0.6901961
0.14117648,0.7372549,0.6862745
0.14117648,0.7372549,0.6901961
0.14117648,0.7372549,0.6862745
0.14117648,0.7372549,0.6862745
0.13725491,0.73333335,0.68235296
0.14509805,0.7372549,0.6784314
0.14901961,0.7254902,0.67058825
0.15294118,0.72156864,0.6627451
0.16862746,0.72156864,0.65882355
0.1764706,0.72156864,0.6627451
0.16470589,0.7176471,0.654902
0.17254902,0.7176471,0.65882355
0.18431373,0.72156864,0.654902
0.1764706,0.7137255,0.654902
0.16862746,0.70980394,0.6509804
0.16470589,0.70980394,0.654902
0.1764706,0.7137255,0.65882355
0.16862746,0.69411767,0.6313726
0.16078432,0.7058824,0.654902
0.16470589,0.7019608,0.6431373
0.16470589,0.69411767,0.6392157
0.16078432,0.69803923,0.6392157
0.16470589,0.69411767,0.6392157
0.21960784,0.27450982,0.3254902
0.20784314,0.2627451,0.29803923
0.14117648,0.19215687,0.22745098
0.24705882,0.31764707,0.35686275
0.23137255,0.30980393,0.34509805
0.21960784,0.3137255,0.33333334
0.07058824,0.35686275,0.3529412
0.003921569,0.38039216,0.36078432
0.003921569,0.38039216,0.36078432
0.003921569,0.3764706,0.3529412
0.003921569,0.39215687,0.3647059
0.003921569,0.37254903,0.35686275
0.003921569,0.38431373,0.34509805
0.003921569,0.3764706,0.35686275
