r,g,b
0.09019608,0.09019608,0.09803922
0.09019608,0.09019608,0.09803922
0.08235294,0.08627451,0.09411765
0.08235294,0.08235294,0.09019608
0.078431375,0.08235294,0.09019608
0.08627451,0.08627451,0.09411765
0.078431375,0.08235294,0.09019608
0.08235294,0.08235294,0.09019608
0.078431375,0.08235294,0.09019608
0.07450981,0.078431375,0.08627451
0.07058824,0.07450981,0.08235294
0.07450981,0.078431375,0.08627451
0.07058824,0.07450981,0.08235294
0.07058824,0.07450981,0.08235294
0.06666667,0.07058824,0.078431375
0.06666667,0.07058824,0.078431375
0.07058824,0.07058824,0.078431375
0.07058824,0.07450981,0.08235294
0.078431375,0.078431375,0.08627451
0.0627451,0.06666667,0.07450981
0.06666667,0.06666667,0.07450981
0.0627451,0.06666667,0.07450981
0.0627451,0.06666667,0.07450981
0.0627451,0.06666667,0.07450981
0.05882353,0.0627451,0.07058824
0.0627451,0.06666667,0.07450981
0.0627451,0.06666667,0.07450981
0.0627451,0.06666667,0.07450981
0.0627451,0.06666667,0.07450981
0.05882353,0.0627451,0.07058824
0.05882353,0.0627451,0.07058824
0.05882353,0.0627451,0.07058824
0.07450981,0.07450981,0.08235294
0.06666667,0.07450981,0.07058824
0.07058824,0.07058824,0.078431375
0.06666667,0.07450981,0.07058824
0.07058824,0.07058824,0.078431375
0.0627451,0.07058824,0.07058824
0.07058824,0.07450981,0.078431375
0.06666667,0.07450981,0.07450981
0.06666667,0.07450981,0.07450981
0.0627451,0.07058824,0.07450981
0.05882353,0.07058824,0.07058824
0.06666667,0.07058824,0.078431375
0.07450981,0.08235294,0.078431375
0.06666667,0.07058824,0.078431375
0.06666667,0.07450981,0.07058824
0.06666667,0.07058824,0.078431375
0.07058824,0.078431375,0.07450981
0.06666667,0.07058824,0.078431375
0.06666667,0.07450981,0.07058824
0.07058824,0.07450981,0.08235294
0.06666667,0.07450981,0.07058824
0.07058824,0.07058824,0.078431375
0.06666667,0.07058824,0.078431375
0.06666667,0.06666667,0.07450981
0.07058824,0.07058824,0.078431375
0.0627451,0.06666667,0.07450981
0.06666667,0.06666667,0.07450981
0.07058824,0.07450981,0.08235294
0.07058824,0.07058824,0.078431375
0.050980393,0.06666667,0.0627451
0.05882353,0.0627451,0.07058824
0.05490196,0.07058824,0.07450981
0.050980393,0.050980393,0.050980393
